meta_score,title,platform,date,user_score,esrb_rating,developers,genres
81,Captain Toad: Treasure Tracker - Special Episode,Switch,3/14/2019,8.2,,Nintendo Software Technology,"Action, Platformer, 3D"
79,Kirbys Extra Epic Yarn,3DS,3/8/2019,6.7,E,Good-Feel,"Action, Platformer, 2D"
,Arcade Archives: Vs. Ice Climber,Switch,2/22/2019,7.3,,Nintendo,"Action, Platformer, 2D"
83,Tetris 99,Switch,2/13/2019,8.3,E,"Arika,  Nintendo","Puzzle, Stacking"
,Daemon X Machina: Prototype Missions,Switch,2/13/2019,6.6,,Nintendo,"Simulation, Vehicle, Combat"
80,Yo-kai Watch 3,3DS,2/8/2019,7.8,E10+,Level 5,"Role-Playing, Trainer"
,Super Smash Bros. Ultimate: Piranha Plant,Switch,1/29/2019,7.1,E10+,Nintendo,"Action, Fighting, 2D"
67,Travis Strikes Again: No More Heroes,Switch,1/18/2019,7.9,M,Grasshopper Manufacture,"Action, ""Beat-Em-Up"", 3D"
84,Mario & Luigi: Bowsers Inside Story + Bowser Jr.s Journey,3DS,1/11/2019,7.8,E,"Nintendo,  Alphadream Corporation","Role-Playing, Japanese-Style"
80,New Super Mario Bros. U Deluxe,Switch,1/11/2019,7,E,Nintendo,"Action, Platformer, 2D"
66,Fitness Boxing,Switch,1/4/2019,6.7,T,"Imagineer Co., Ltd.","Miscellaneous, Exercise / Fitness"
93,Super Smash Bros. Ultimate,Switch,12/7/2018,8.6,E10+,"Nintendo,  HAL Labs,  Bandai Namco Games,  Sora Ltd.","Action, Fighting, 2D"
80,"Pokemon: Lets Go, Eevee!",Switch,11/16/2018,6.2,E,Game Freak,"Action RPG, Role-Playing, Trainer"
79,"Pokemon: Lets Go, Pikachu!",Switch,11/16/2018,6.1,E,Game Freak,"Action RPG, Role-Playing, Trainer"
,Arcade Archives: Urban Champion,Switch,11/9/2018,,,Nintendo,"Action, Fighting, 2D"
77,The World Ends with You: Final Remix,Switch,10/12/2018,7.1,T,"Square Enix,  h.a.n.d. Inc.,  Jupiter Corporation","Role-Playing, Action RPG"
74,Luigis Mansion,3DS,10/12/2018,8.1,E,"Nintendo,  GREZZO","Action Adventure, General"
76,Super Mario Party,Switch,10/5/2018,7.2,E,"Nintendo,  Nd Cube","Miscellaneous, Party / Minigame"
69,Dragalia Lost,iOS,9/27/2018,7.7,T,Cygames,"Role-Playing, General"
,Yo-kai Watch Blasters: Moon Rabbit Crew,3DS,9/27/2018,,E10+,Level 5,"Action, ""Beat-Em-Up"", 3D"
,Arcade Archives: Excitebike,Switch,9/21/2018,,E,Nintendo,"Racing, Arcade, Automobile"
80,Xenoblade Chronicles 2: Torna ~ The Golden Country,Switch,9/14/2018,8.7,T,Monolith Soft,"Role-Playing, Action RPG"
69,Nintendo Labo: Toycon 03 Vehicle Kit,Switch,9/14/2018,7.2,E,Nintendo,"Miscellaneous, Party / Minigame"
67,Yo-kai Watch Blasters: Red Cat Corps,3DS,9/7/2018,7.5,E10+,Level 5,"Action, ""Beat-Em-Up"", 3D"
67,Yo-kai Watch Blasters: White Dog Squad,3DS,9/7/2018,7.5,E10+,Level 5,"Action, ""Beat-Em-Up"", 3D"
78,WarioWare Gold,3DS,8/3/2018,8,E10+,Nintendo,"Miscellaneous, Party / Minigame"
62,Go Vacation,Switch,7/27/2018,7.8,E,Bandai Namco Games,"Miscellaneous, Party / Minigame"
,Xenoblade Chronicles 2: New Quests Pack 4,Switch,7/26/2018,,,Monolith Soft,"Role-Playing, Action RPG"
82,Captain Toad: Treasure Tracker,Switch,7/13/2018,7.9,E,"Nintendo EAD Tokyo ,  Nintendo Software Technology","Action, Platformer, 3D"
79,Captain Toad: Treasure Tracker,3DS,7/13/2018,6.9,E,"Nintendo EAD Tokyo ,  Nintendo Software Technology","Action, Platformer, 3D"
83,Octopath Traveler,Switch,7/12/2018,8.5,T,"Square Enix,  Acquire","General, Role-Playing, Japanese-Style"
75,Mario Tennis Aces,Switch,6/22/2018,7.1,E,Camelot Software Planning,"Sports, Individual, Tennis"
82,Arcade Archives: Donkey Kong,Switch,6/14/2018,8.5,E,Nintendo,"Action, Platformer, 2D"
82,Splatoon 2: Octo Expansion,Switch,6/13/2018,8.4,E10+,Nintendo,"Action, Shooter, Third-Person, Arcade"
,Xenoblade Chronicles 2: Battle Challenge Mode Pack,Switch,6/13/2018,,T,Monolith Soft,"Role-Playing, Action RPG"
,Sushi Striker: The Way of Sushido,3DS,6/8/2018,7.1,E,indieszero,"Puzzle, Matching"
76,Sushi Striker: The Way of Sushido,Switch,6/8/2018,7.8,E,indieszero,"Puzzle, Matching"
62,Pokemon Quest,iOS,5/30/2018,4.7,,Game Freak,"Role-Playing, Action RPG"
64,Pokemon Quest,Switch,5/29/2018,6.5,E,Game Freak,"Role-Playing, Action RPG"
,Xenoblade Chronicles 2: New Quests Pack 3,Switch,5/25/2018,,T,Monolith Soft,"Role-Playing, Action RPG"
69,Dillons Dead-Heat Breakers,3DS,5/24/2018,7.6,E10+,"Nintendo,  Vanpool","Action, General"
78,Hyrule Warriors: Definitive Edition,Switch,5/18/2018,7.9,T,Koei Tecmo Games,"Action, ""Beat-Em-Up"", 3D"
86,Donkey Kong Country: Tropical Freeze,Switch,5/4/2018,8.6,E,Retro Studios,"Action, Platformer, 2D"
77,Nintendo Labo: Toycon 01 Variety Kit,Switch,4/20/2018,6.9,E,Nintendo,"Miscellaneous, Party / Minigame"
68,Nintendo Labo: Toycon 02 Robot Kit,Switch,4/20/2018,6.5,E10+,Nintendo,"Miscellaneous, Party / Minigame"
,Arcade Archives: Punch-Out!,Switch,3/30/2018,7.5,E10+,Nintendo,"Sports, Individual, Combat, Boxing / Martial Arts"
,Xenoblade Chronicles 2: New Quests Pack 2,Switch,3/30/2018,,T,Monolith Soft,"Role-Playing, Action RPG"
,Fire Emblem Warriors: Awakening Pack,3DS,3/29/2018,,T,Omega Force,"Action, ""Beat-Em-Up"", 3D"
71,Detective Pikachu,3DS,3/23/2018,7.4,E,Creatures Inc.,"Adventure, 3D, Third-Person"
73,Kirby Star Allies,Switch,3/16/2018,7.5,E10+,HAL Labs,"Action, Platformer, 2D"
,Kirby Star Allies Demo,Switch,3/4/2018,7,,HAL Labs,"Action, Platformer, 2D"
90,Bayonetta + Bayonetta 2,Switch,2/16/2018,8.7,M,PlatinumGames,"Miscellaneous, Compilation"
92,Bayonetta 2,Switch,2/16/2018,8.5,M,"Nintendo,  PlatinumGames","Action Adventure, Linear"
84,Bayonetta,Switch,2/16/2018,8.3,M,"Nintendo,  PlatinumGames","Action Adventure, Linear"
